"lacode","region","positive","number_samples","round","prevalence","lower","upper"
"E09000020","London",0,243,"round 1",0,0,0.0110113244335526
"E09000021","London",0,424,"round 1",0,0,0.00634053973659349
"E09000022","London",1,330,"round 1",0.00303030303030303,0.000535123323708782,0.0169625800512084
"E09000023","London",0,394,"round 1",0,0,0.00682002936116894
"E09000024","London",0,286,"round 1",0,0,0.00937129028326259
"E09000025","London",2,222,"round 1",0.00900900900900901,0.00247408198904439,0.0322469956272662
"E09000026","London",1,310,"round 1",0.0032258064516129,0.00056966118549327,0.018043108595288
"E09000027","London",0,482,"round 1",0,0,0.00558182899006114
"E09000028","London",0,266,"round 1",0,0,0.0100688040124398
"E09000029","London",0,393,"round 1",0,0,0.00683726447317075
"E09000030","London",1,298,"round 1",0.00335570469798658,0.000592610084900471,0.0187601284140351
"E09000031","London",1,335,"round 1",0.00298507462686567,0.00052713345937549,0.0167123709419595
"E09000032","London",0,420,"round 1",0,0,0.0064005393257617
"E09000033","London",1,271,"round 1",0.003690036900369,0.000651679372982108,0.0206022422360757
"E06000001","North East",0,470,"round 2",0,0,0.00572352808542459
"E06000002","North East",0,418,"round 2",0,0,0.00643096697010987
"E06000003","North East",0,481,"round 2",0,0,0.00559336871513893
"E06000004","North East",0,488,"round 2",0,0,0.00551357833671693
"E06000005","North East",0,509,"round 2",0,0,0.00528730534328894
"E06000006","North West",0,427,"round 2",0,0,0.00629627309982432
"E06000007","North West",1,455,"round 2",0.0021978021978022,0.000388071463602773,0.0123428156617841
"E06000008","North West",1,470,"round 2",0.00212765957446809,0.000375682945639459,0.0119521932077737
"E06000009","North West",0,474,"round 2",0,0,0.00567550239607386
"E06000010","Yorkshire and The Humber",1,444,"round 2",0.00225225225225225,0.000397688524402808,0.0126458980074839
"E06000011","Yorkshire and The Humber",0,531,"round 2",0,0,0.00506935610334
"E06000012","Yorkshire and The Humber",0,459,"round 2",0,0,0.00585988947382956
"E06000013","Yorkshire and The Humber",1,502,"round 2",0.00199203187250996,0.000351729130116981,0.0111962741401423
"E06000014","Yorkshire and The Humber",0,534,"round 2",0,0,0.00504102014054717
"E06000015","East Midlands",0,494,"round 2",0,0,0.00544697656338005
"E06000016","East Midlands",1,472,"round 2",0.00211864406779661,0.000374090651717315,0.0119019704447062
"E06000017","East Midlands",0,575,"round 2",0,0,0.00468325686805599
"E06000018","East Midlands",0,480,"round 2",0,0,0.00560495625290598
"E06000019","West Midlands",1,512,"round 2",0.001953125,0.000344857761543374,0.0109792782124218
"E06000020","West Midlands",0,522,"round 2",0,0,0.00515630811956937
"E06000021","West Midlands",1,460,"round 2",0.00217391304347826,0.00038385216160699,0.0122098017897795
"E06000022","South West",1,519,"round 2",0.00192678227360308,0.000340205392696565,0.0108323187485028
"E06000023","South West",1,519,"round 2",0.00192678227360308,0.000340205392696565,0.0108323187485028
"E06000024","South West",0,565,"round 2",0,0,0.00476575133938987
"E06000025","South West",0,499,"round 2",0,0,0.00539269196722153
"E06000026","South West",1,500,"round 2",0.002,0.000353136394559276,0.0112407067051468
"E06000027","South West",0,507,"round 2",0,0,0.00530805185237126
"E06000030","South West",0,539,"round 2",0,0,0.00499449098645726
"E06000031","East of England",0,495,"round 2",0,0,0.00543603238838538
"E06000032","East of England",1,451,"round 2",0.00221729490022173,0.00039151428281826,0.0124513317405846
"E06000033","East of England",2,497,"round 2",0.00402414486921529,0.00110426023183483,0.0145523086935054
"E06000034","East of England",1,427,"round 2",0.00234192037470726,0.000413526142327999,0.0131447299193877
"E06000035","South East",0,484,"round 2",0,0,0.00555889179912451
"E06000036","South East",0,520,"round 2",0,0,0.00517603742293775
"E06000037","South East",0,549,"round 2",0,0,0.00490396278630201
"E06000038","South East",1,497,"round 2",0.00201207243460765,0.000355268532892354,0.0113080207531997
"E06000039","South East",1,479,"round 2",0.00208768267223382,0.000368622362467747,0.0117294663869149
"E06000040","South East",0,517,"round 2",0,0,0.00520591609647586
"E06000041","South East",0,537,"round 2",0,0,0.00501299919356031
"E06000042","South East",0,506,"round 2",0,0,0.00531848628132662
"E06000043","South East",1,462,"round 2",0.00216450216450216,0.000382190019182097,0.0121573955202461
"E06000044","South East",0,475,"round 2",0,0,0.00566362164134149
"E06000045","South East",0,443,"round 2",0,0,0.00607024860657598
"E06000046","South East",0,477,"round 2",0,0,0.00564000873247009
"E06000047","North East",1,510,"round 2",0.00196078431372549,0.00034621047279566,0.0110220018822384
"E06000049","North West",1,500,"round 2",0.002,0.000353136394559276,0.0112407067051468
"E06000050","North West",1,475,"round 2",0.00210526315789474,0.0003717273588637,0.0118274227211662
"E06000051","West Midlands",0,508,"round 2",0,0,0.00529765828621478
