lacode,round,swab,issued
E07000142,round 4,521,1842
E07000150,round 4,393,2475
E07000151,round 4,528,1777
E07000152,round 4,541,1899
E07000153,round 4,467,2087
E07000154,round 4,443,2563
E07000155,round 4,573,1719
E07000156,round 4,509,2353
E07000170,round 4,437,2091
E07000171,round 4,486,2059
E07000172,round 4,535,2062
E07000173,round 4,466,1919
E07000174,round 4,462,2290
E07000175,round 4,529,2038
E07000176,round 4,539,1737
E06000031,round 4,501,2873
E06000032,round 4,386,3678
E06000033,round 4,471,2150
E06000034,round 4,439,2441
E06000055,round 4,507,2320
E06000056,round 4,508,1783
E07000008,round 4,521,2848
E07000009,round 4,533,1932
E07000010,round 4,503,2253
E07000011,round 4,551,1865
E07000012,round 4,564,1740
E07000066,round 4,475,2180
E07000067,round 4,508,1781
