region,age_group,react_week_number,react_week_start_date,number_positive,number_samples,round
South East,35-44,25,15/06/2020,0,202,Round 2
South East,45-54,25,15/06/2020,1,295,Round 2
South East,55-64,25,15/06/2020,1,263,Round 2
South East,65+,25,15/06/2020,1,341,Round 2
South West,5-12,25,15/06/2020,0,108,Round 2
South West,13-17,25,15/06/2020,0,84,Round 2
South West,18-24,25,15/06/2020,0,57,Round 2
South West,25-34,25,15/06/2020,0,103,Round 2
South West,35-44,25,15/06/2020,1,109,Round 2
South West,45-54,25,15/06/2020,0,129,Round 2
South West,55-64,25,15/06/2020,1,140,Round 2
South West,65+,25,15/06/2020,0,201,Round 2
West Midlands,5-12,25,15/06/2020,0,79,Round 2
West Midlands,13-17,25,15/06/2020,1,61,Round 2
West Midlands,18-24,25,15/06/2020,0,61,Round 2
West Midlands,25-34,25,15/06/2020,0,103,Round 2
West Midlands,35-44,25,15/06/2020,1,90,Round 2
West Midlands,45-54,25,15/06/2020,0,97,Round 2
West Midlands,55-64,25,15/06/2020,0,102,Round 2
West Midlands,65+,25,15/06/2020,0,150,Round 2
Yorkshire and The Humber,5-12,25,15/06/2020,0,80,Round 2
Yorkshire and The Humber,13-17,25,15/06/2020,0,74,Round 2
Yorkshire and The Humber,18-24,25,15/06/2020,0,61,Round 2
Yorkshire and The Humber,25-34,25,15/06/2020,0,94,Round 2
Yorkshire and The Humber,35-44,25,15/06/2020,0,100,Round 2
Yorkshire and The Humber,45-54,25,15/06/2020,0,137,Round 2
Yorkshire and The Humber,55-64,25,15/06/2020,0,125,Round 2
Yorkshire and The Humber,65+,25,15/06/2020,0,134,Round 2
East Midlands,5-12,26,22/06/2020,0,913,Round 2
East Midlands,13-17,26,22/06/2020,0,702,Round 2
East Midlands,18-24,26,22/06/2020,0,534,Round 2
East Midlands,25-34,26,22/06/2020,0,1076,Round 2
East Midlands,35-44,26,22/06/2020,0,1444,Round 2
East Midlands,45-54,26,22/06/2020,4,1954,Round 2
East Midlands,55-64,26,22/06/2020,2,2274,Round 2
East Midlands,65+,26,22/06/2020,3,3355,Round 2
East of England,5-12,26,22/06/2020,0,1033,Round 2
East of England,13-17,26,22/06/2020,0,785,Round 2
East of England,18-24,26,22/06/2020,0,603,Round 2
East of England,25-34,26,22/06/2020,1,1223,Round 2
East of England,35-44,26,22/06/2020,1,1589,Round 2
East of England,45-54,26,22/06/2020,1,2154,Round 2
East of England,55-64,26,22/06/2020,3,2463,Round 2
East of England,65+,26,22/06/2020,0,3622,Round 2
London,5-12,26,22/06/2020,3,687,Round 2
London,13-17,26,22/06/2020,1,537,Round 2
London,18-24,26,22/06/2020,0,455,Round 2
London,25-34,26,22/06/2020,3,1278,Round 2
London,35-44,26,22/06/2020,1,1390,Round 2
London,45-54,26,22/06/2020,1,1214,Round 2
London,55-64,26,22/06/2020,2,1174,Round 2
London,65+,26,22/06/2020,3,1360,Round 2
North East,5-12,26,22/06/2020,0,231,Round 2
North East,13-17,26,22/06/2020,0,161,Round 2
North East,18-24,26,22/06/2020,0,162,Round 2
North East,25-34,26,22/06/2020,0,330,Round 2
North East,35-44,26,22/06/2020,0,374,Round 2
North East,45-54,26,22/06/2020,0,491,Round 2
North East,55-64,26,22/06/2020,0,634,Round 2
North East,65+,26,22/06/2020,0,863,Round 2
North West,5-12,26,22/06/2020,0,758,Round 2
North West,13-17,26,22/06/2020,0,609,Round 2
North West,18-24,26,22/06/2020,1,555,Round 2
North West,25-34,26,22/06/2020,2,987,Round 2
North West,35-44,26,22/06/2020,1,1267,Round 2
North West,45-54,26,22/06/2020,2,1695,Round 2
North West,55-64,26,22/06/2020,4,2082,Round 2
North West,65+,26,22/06/2020,1,2960,Round 2
South East,5-12,26,22/06/2020,1,1596,Round 2
