date,logit(p),lb_2.5,lb_25,ub_97.5,ub_75
2021-04-13,-6.573471499,-6.952222103,-6.698449631,-6.175998877,-6.445062491
2021-04-14,-6.61556828,-6.975089698,-6.733902661,-6.251733665,-6.496160852
2021-04-15,-6.658909089,-6.994986859,-6.76885175,-6.328570016,-6.548137624
2021-04-16,-6.701858853,-7.013480856,-6.803773083,-6.403101015,-6.599464764
2021-04-17,-6.742400374,-7.032538832,-6.837386416,-6.471464716,-6.648612113
2021-04-18,-6.779766209,-7.049810284,-6.868839924,-6.533354782,-6.693356605
2021-04-19,-6.813378273,-7.064683774,-6.896210435,-6.585801691,-6.733240277
2021-04-20,-6.841863226,-7.074826843,-6.919654026,-6.630628747,-6.767247789
2021-04-21,-6.865015892,-7.083928986,-6.938276067,-6.665673007,-6.794621213
2021-04-22,-6.882772258,-7.089854098,-6.952847866,-6.692093949,-6.815229824
2021-04-23,-6.89559161,-7.094974891,-6.963407693,-6.708396947,-6.829178846
2021-04-24,-6.902641638,-7.099625724,-6.969719635,-6.715782186,-6.836779592
2021-04-25,-6.905237852,-7.104633398,-6.97335282,-6.714775485,-6.838277491
2021-04-26,-6.904606557,-7.113373208,-6.975707758,-6.705583697,-6.834659584
